PARTNER,TYPE,NAME_FIRST,NAMEMIDDLE,NAME_LAST,NAME_LST2,NAME_ORG1,NAME_ORG2,GESCHL,BIRTHDT,IDTYPE,IDNUMBER,RLTYP,ZZ_CATEGORIA,ZZ_AFILIACION,ZZ_ESTADO_AFIL,COUNTRY,REGION,CITY1,STREET,SMTP_ADDR,TELEFONOS,RELACIONES,ZZ_GRUPO_FAM,ZZ_CONSENT_DP,ZZ_CONSENT_COM,ZZ_PREF,ZZ_PREF_EMAIL,ZZ_FALLECIDO,ZZ_TIPO_ORG,CHDAT
0007000100,1,Jean,José,Cruz,Ortiz,,,1,19420723,ZCC,953726807,ZAFI,A,AF-000100,A,CO,CUN,25286,Cr. 185J Sur # 6-70,jean.meza166@ejemplo.test,3013223646:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000101,1,Ángel,,Ríos,Camacho,,,1,19680628,ZCC,924970866,ZAFI,A,AF-000101,A,CO,CUN,25286,Carrera 48C # 60-3 Este,ángel.zambrano167@ejemplo.test,3380543537:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000102,1,Omar,,Amaya,Serrano,,,1,19801029,ZCC,990037227,ZAFI,A,AF-000102,A,CO,ANT,05001,Av. carrera 94 # 6-5 Sur,omar.ariza168@ejemplo.test,3477009281:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000103,1,Adriana,Margarita,Camargo,León,,,2,19750623,ZCC,972213087,ZAFI,B,AF-000103,A,CO,ANT,05001,Av. Córdoba # 65-13 Sur,adriana.osorio169@ejemplo.test,3472522260:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000104,1,José,Edgar,Jaimes,Morales,,,1,19570713,ZCC,925833245,ZAFI,A,AF-000104,A,CO,CUN,25286,Cl. 56 # 99-7,josé.ortiz172@ejemplo.test,3447993698:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000105,1,José,,Correa,Sierra,,,1,19830501,ZCC,917697623,ZAFI,C,AF-000105,A,CO,ANT,05001,Carrera 5ª # 93-3 Sur,josé.ortiz174@ejemplo.test,3355917273:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000106,1,Luisa,Manuela,Lozano,Ocampo,,,2,19700907,ZCC,936371067,ZAFI,A,AF-000106,A,CO,CUN,25286,Cl. 130 # 43-4 Sur,luisa.soto175@ejemplo.test,3181409032:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000107,1,Enrique,Andrés,Gómez,Díaz,,,1,19691213,ZCC,993516672,ZAFI,C,AF-000107,A,CO,ANT,05001,Carrera 190 # 2-53 Este,enrique.lópez176@ejemplo.test,3047149148:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000108,1,Paola,Gloria,Peña,Gaviria,,,2,19600609,ZCC,970402733,ZAFI,C,AF-000108,A,CO,VAL,76001,Av. calle 174 # 3-41,paola.narváez178@ejemplo.test,3426996190:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000109,1,Cecilia,María,Ochoa,Delgado,,,2,19430610,ZCC,959274136,ZAFI,C,AF-000109,A,CO,BOG,11001,Calle 75L Bis # 77-49 Este,cecilia.cortés179@ejemplo.test,3278854249:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000110,1,María,,Hernández,Rojas,,,2,19830712,ZCC,941170537,ZAFI,B,AF-000110,A,CO,ANT,05001,Cr. 93 # 9X-51,maría.sánchez181@ejemplo.test,3025302589:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000111,1,Eduardo,,Parra,González,,,1,19911007,ZCC,969630509,ZAFI,A,AF-000111,A,CO,VAL,76001,Carrera 69M Sur # 3C-48,eduardo.montoya182@ejemplo.test,3065624758:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000112,1,Angie,,Londoño,Becerra,,,2,19490112,ZCC,982291656,ZAFI,B,AF-000112,A,CO,CUN,25286,Av. calle 1ª # 4-35 Este,angie.rubio183@ejemplo.test,3098481316:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000113,1,Orlando,,Álvarez,Yepes,,,1,19900210,ZCC,955890795,ZAFI,C,AF-000113,A,CO,VAL,76001,Cr. 134 # 36-8 Sur,orlando.agudelo184@ejemplo.test,3282172085:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000114,1,Daniela,Sofía,Bustamante,Castillo,,,2,20031215,ZCC,999184369,ZAFI,C,AF-000114,A,CO,BOG,11001,Cl. 2V # 89-5 Sur,daniela.orjuela185@ejemplo.test,3343456589:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000115,1,Alexander,Javier,Jiménez,Gil,,,1,19710211,ZCC,932726945,ZAFI,A,AF-000115,A,CO,CUN,25754,Avenida Yury Pérez Hoyos # 61-81 Este,alexander.guzmán186@ejemplo.test,3232817392:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000116,1,Javier,,Alzate,Jaramillo,,,1,19580606,ZCC,928730417,ZAFI,A,AF-000116,A,CO,ANT,05001,Av. calle 61 # 9-5 Este,javier.ríos188@ejemplo.test,3122844125:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000117,1,Arley,Enrique,Ramos,Benítez,,,1,19970119,ZCC,927696113,ZAFI,B,AF-000117,A,CO,BOG,11001,Cl. 63 # 71-3 Este,arley.vargas189@ejemplo.test,3262142074:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000118,1,Laura,,Andrade,Sánchez,,,2,19500317,ZCC,997206960,ZAFI,A,AF-000118,A,CO,ANT,05001,Cl. 172T Sur # 3Q-8,laura.vásquez190@ejemplo.test,3039441500:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000119,1,Rafael,,Mejía,García,,,1,20010125,ZCC,920803048,ZAFI,B,AF-000119,A,CO,CUN,25754,Carrera 97O # 34-31 Este,rafael.torres191@ejemplo.test,3457776454:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000120,1,Edilma,,Mora,Rodríguez,,,2,19780221,ZCC,914153065,ZAFI,B,AF-000120,A,CO,BOG,11001,Carrera 8ª # 94-9,edilma.rodríguez194@ejemplo.test,3160789113:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000121,1,Mónica,Gloria,Rico,Rojas,,,2,19940418,ZCC,977901426,ZAFI,B,AF-000121,A,CO,BOG,11001,Cl. 114 # 4-20,mónica.suárez195@ejemplo.test,3181725098:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000122,1,Roberto,,Ardila,Rueda,,,1,19491123,ZCC,910849995,ZAFI,A,AF-000122,A,CO,ANT,05001,Transversal 193J # 25-8,roberto.correa196@ejemplo.test,3323668975:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000123,1,Clara,,Gómez,Ardila,,,2,19590731,ZCC,935751790,ZAFI,A,AF-000123,A,CO,CUN,25754,Cl. 71 # 2-2 Este,clara.bonilla199@ejemplo.test,3154910202:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000124,1,Yolanda,,Beltrán,Cáceres,,,2,19850804,ZPAS,968388564,ZAFI,C,AF-000124,A,CO,CUN,25754,Cl. 23S Este # 2-27 Sur,yolanda.pedraza200@ejemplo.test,3292621495:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000125,1,Alexandra,Mayerly,Mendoza,Posada,,,2,19580513,ZCC,928238050,ZAFI,B,AF-000125,A,CO,VAL,76001,Carrera 3ª # 7-9,alexandra.muñoz201@ejemplo.test,3438079878:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000126,1,Alexander,David,Gómez,Melo,,,1,19651204,ZCC,951353072,ZAFI,B,AF-000126,A,CO,CUN,25286,Carrera 55 # 6-7 Este,alexander.mosquera202@ejemplo.test,3431175785:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000127,1,Lucila,,Ortiz,Meneses,,,2,19940113,ZCC,916302890,ZAFI,B,AF-000127,A,CO,CUN,25754,Carrera 15 # 78-85 Este,lucila.díaz203@ejemplo.test,3077454442:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000128,1,Angie,Judith,López,Angarita,,,2,19910610,ZCC,998069139,ZAFI,B,AF-000128,A,CO,CUN,25754,Cl. 125 # 2R-76,angie.hernández204@ejemplo.test,3247336771:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000129,1,Jhon,Rafael,Mena,Castillo,,,1,20041229,ZCC,920271382,ZAFI,B,AF-000129,A,CO,BOG,11001,Calle 54 # 7-3,jhon.sierra206@ejemplo.test,3156995491:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000130,1,Andrés,Miller,Ortiz,Molano,,,1,19460416,ZCC,995409049,ZAFI,A,AF-000130,A,CO,CUN,25754,Tr. 30 # 94-30,andrés.cabrera207@ejemplo.test,3087130296:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000131,1,Rocío,Fabiola,Duque,Cano,,,2,19481006,ZCC,974887192,ZAFI,A,AF-000131,A,CO,BOG,11001,Carrera 118I # 5-1 Este,rocío.espinosa208@ejemplo.test,3057040397:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000132,1,Eugenia,,Gutiérrez,Guerra,,,2,19531103,ZCC,914062142,ZAFI,C,AF-000132,A,CO,BOG,11001,Calle 93 # 30-1 Sur,eugenia.velásquez209@ejemplo.test,3371682907:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000133,1,María,,Suárez,Cerón,,,2,19690514,ZPPT,938673682,ZAFI,B,AF-000133,A,CO,BOG,11001,Carrera 11F # 7-78 Este,maría.sarmiento210@ejemplo.test,3177093174:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000134,1,Darwin,Julio,Moreno,Jiménez,,,1,19561223,ZCC,974176647,ZAFI,A,AF-000134,A,CO,VAL,76001,Calle 4 Bis # 62-2 Sur,darwin.montoya211@ejemplo.test,3344989714:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000135,1,Beatriz,,Bustos,Gómez,,,2,19970907,ZCC,992673307,ZAFI,B,AF-000135,A,CO,CUN,25286,Calle 50O # 77-33 Sur,beatriz.giraldo214@ejemplo.test,3436690338:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000136,1,Ángel,Marino,Herrera,Pérez,,,1,19510317,ZCE,936587764,ZAFI,C,AF-000136,A,CO,ANT,05001,Cl. 93G # 68-30 Este,ángel.bonilla215@ejemplo.test,3042486874:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000137,1,María,,Cárdenas,López,,,2,20010623,ZCC,950469478,ZAFI,A,AF-000137,A,CO,CUN,25286,Cr. 8 Bis # 91U-42 Este,maría.velasco217@ejemplo.test,3365401806:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000138,1,Samuel,Brayan,Giraldo,Bernal,,,1,19940114,ZCC,970224141,ZAFI,C,AF-000138,A,CO,CUN,25754,Cr. 1S Sur # 25-14 Este,samuel.erazo218@ejemplo.test,3422034910:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000139,1,Aldemar,Luis,Ruiz,Vásquez,,,1,19541123,ZCC,940861807,ZAFI,A,AF-000139,A,CO,ANT,05001,Calle 8ª # 5H-18 Este,aldemar.hernández220@ejemplo.test,3117460258:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000140,1,Natalia,Ester,Gaitán,Pedraza,,,2,19720210,ZCC,925692377,ZAFI,C,AF-000140,A,CO,CUN,25754,Diagonal 2ª # 99-48 Este,natalia.ortega222@ejemplo.test,3369134988:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000141,1,Brayan,,Méndez,Hernández,,,1,19990202,ZCE,928389664,ZAFI,B,AF-000141,A,CO,VAL,76001,Av. calle 7ª # 24-9,brayan.peña223@ejemplo.test,3121567999:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000142,1,Hernán,Isidro,Villamil,Giraldo,,,1,19960918,ZCC,984598877,ZAFI,B,AF-000142,A,CO,ANT,05001,Cr. 3ª # 54-8,hernán.flórez224@ejemplo.test,3465658002:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000143,1,Andrés,,Martínez,Cruz,,,1,19800330,ZCC,944837093,ZAFI,A,AF-000143,A,CO,CUN,25754,Carrera 189 Bis N # 45-7 Este,andrés.cantillo225@ejemplo.test,3244197905:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000144,1,Luis,Giovanny,Jiménez,González,,,1,20000412,ZCC,948454556,ZAFI,B,AF-000144,A,CO,BOG,11001,Carrera 124V # 4H-45,luis.arias226@ejemplo.test,3284775669:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000145,1,Antonio,,Hurtado,Rodríguez,,,1,19650209,ZCC,982841107,ZAFI,C,AF-000145,A,CO,VAL,76001,Carrera 4ª # 38-6 Sur,antonio.alfonso227@ejemplo.test,3273009629:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000146,1,José,,Ramírez,López,,,1,19450628,ZCC,954700684,ZAFI,B,AF-000146,A,CO,CUN,25286,Dg. 3ª # 78C-52 Sur,josé.rojas228@ejemplo.test,3296338340:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000147,1,Claudia,,González,Cárdenas,,,2,19670621,ZCC,913585309,ZAFI,B,AF-000147,A,CO,CUN,25286,Avenida carrera 95 # 8-17 Sur,claudia.ospino229@ejemplo.test,3479688600:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000148,1,Consuelo,Lucy,Ortiz,López,,,2,19630812,ZCC,974546069,ZAFI,B,AF-000148,A,CO,CUN,25754,Av. calle 2ª # 98B-8 Sur,consuelo.rivera230@ejemplo.test,3420629794:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000149,1,Diego,David,Ríos,Perea,,,1,20070327,ZCC,971370781,ZAFI,A,AF-000149,A,CO,VAL,76001,Carrera 39 # 26-39 Este,diego.reyes231@ejemplo.test,3421191758:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000150,1,Antonio,Estiven,Ramírez,Cortés,,,1,19500824,ZCC,941305210,ZAFI,B,AF-000150,A,CO,CUN,25286,Carrera 9E # 66-5,antonio.páez233@ejemplo.test,3172152859:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000151,1,Sara,,Garcés,Vera,,,2,19970524,ZCC,962172140,ZAFI,C,AF-000151,A,CO,CUN,25754,Calle 90 # 59K-9 Sur,sara.rodríguez234@ejemplo.test,3245282897:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000152,1,Ángel,Juan,Díaz,Barrera,,,1,20040116,ZCC,927811177,ZAFI,A,AF-000152,A,CO,CUN,25754,Cr. 187S # 8-9 Sur,ángel.gonzález239@ejemplo.test,3446658626:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000153,1,Julián,Wilson,Caro,González,,,1,19401111,ZCC,936420477,ZAFI,A,AF-000153,A,CO,VAL,76001,Carrera 7ª # 42-1 Sur,julián.pacheco240@ejemplo.test,3128485572:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000154,1,Adriana,Nelly,Pinzón,Acosta,,,2,20060213,ZCC,955034358,ZAFI,A,AF-000154,A,CO,VAL,76001,Calle 91H # 39-6,adriana.rodríguez241@ejemplo.test,3021633933:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000155,1,Fernando,Alexis,Pérez,Díaz,,,1,20071224,ZCC,944433689,ZAFI,C,AF-000155,A,CO,ANT,05001,Carrera 29 # 2-3 Este,fernando.rodríguez242@ejemplo.test,3130186905:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000156,1,Juan,Edgar,Escobar,Luna,,,1,20060411,ZCC,933224136,ZAFI,B,AF-000156,A,CO,ANT,05001,Avenida carrera 1ª # 6-9 Este,juan.morales243@ejemplo.test,3094037845:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000157,1,Néstor,Mateo,Murillo,López,,,1,20010523,ZCC,925257223,ZAFI,B,AF-000157,A,CO,ANT,05001,Carrera 171 # 4-4,néstor.ojeda245@ejemplo.test,3359416463:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000158,1,Lorena,Juliana,Ocampo,Bautista,,,2,19740709,ZCC,936905528,ZAFI,B,AF-000158,A,CO,CUN,25286,Cr. 95T # 9-4,lorena.arrieta246@ejemplo.test,3039813566:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000159,1,María,Johanna,Franco,González,,,2,19950804,ZCC,992825485,ZAFI,B,AF-000159,A,CO,CUN,25754,Avenida Ruiz # 4-5 Sur,maría.pérez247@ejemplo.test,3034408346:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000160,1,Carmenza,,Caballero,Pineda,,,2,19780807,ZCC,999565575,ZAFI,B,AF-000160,A,CO,VAL,76001,Diagonal 8 Sur # 5-49,carmenza.herrera248@ejemplo.test,3223201998:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000161,1,José,Cristian,Morales,Gutiérrez,,,1,19790727,ZCC,968140908,ZAFI,B,AF-000161,A,CO,VAL,76001,Av. carrera 68 # 9-6 Este,josé.torres249@ejemplo.test,3272232464:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000162,1,Edier,Andrés,Osorio,Rodríguez,,,1,19890813,ZCC,918798129,ZAFI,A,AF-000162,A,CO,CUN,25286,Avenida Milton Steven Escobar # 4-76 Este,edier.tovar250@ejemplo.test,3051843786:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000163,1,Dario,David,Rodríguez,Rosero,,,1,19891011,ZCE,921993237,ZAFI,A,AF-000163,A,CO,VAL,76001,Cr. 83 # 2-18 Sur,dario.montes251@ejemplo.test,3346990314:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000164,1,Francy,,Ordóñez,Gallego,,,2,19780301,ZPAS,936472220,ZAFI,A,AF-000164,A,CO,CUN,25286,Cl. 9ª # 51-55 Este,francy.castro252@ejemplo.test,3028654871:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000165,1,Diana,,Monroy,Mejía,,,2,19960415,ZCC,922696283,ZAFI,A,AF-000165,A,CO,CUN,25754,Diagonal 142 # 2S-7 Este,diana.rueda253@ejemplo.test,3089595299:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000166,1,Arnulfo,,López,Escobar,,,1,19460308,ZPPT,915045577,ZAFI,A,AF-000166,A,CO,CUN,25754,Av. calle 14 # 31K-4 Sur,arnulfo.aguirre254@ejemplo.test,3356745003:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000167,1,Campo,,Rivera,Quintero,,,1,19780916,ZCC,910538009,ZAFI,C,AF-000167,A,CO,ANT,05001,Calle 91V # 1-63 Este,campo.muñoz255@ejemplo.test,3413730499:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000168,1,Valentina,Cecilia,Moreno,Córdoba,,,2,19901205,ZCC,944254878,ZAFI,A,AF-000168,A,CO,ANT,05001,Calle 136 # 86-67 Sur,valentina.sarmiento256@ejemplo.test,3386966358:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000169,1,Doris,Olga,Hurtado,García,,,2,19870823,ZCE,931257051,ZAFI,B,AF-000169,A,CO,CUN,25286,Av. calle 15 # 3-5,doris.mora258@ejemplo.test,3373430240:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000170,1,Mauricio,Danilo,Mena,Gómez,,,1,19820421,ZPPT,948119233,ZAFI,C,AF-000170,A,CO,BOG,11001,Carrera 161 # 2-53,mauricio.vega259@ejemplo.test,3479463243:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000171,1,Óscar,Wilmer,Daza,Blanco,,,1,19711129,ZCC,961985703,ZAFI,C,AF-000171,A,CO,CUN,25286,Transversal 67 Sur # 8-83,óscar.bustos260@ejemplo.test,3452098459:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000172,1,Iván,David,Camacho,Gallego,,,1,19870816,ZCC,999904998,ZAFI,A,AF-000172,A,CO,ANT,05001,Calle 67 # 9-81 Sur,iván.bermúdez261@ejemplo.test,3124032130:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000173,1,María,Alicia,Murillo,Ruiz,,,2,19920725,ZCC,973385534,ZAFI,C,AF-000173,A,CO,CUN,25286,Cl. 166X # 80-29,maría.narváez262@ejemplo.test,3070915601:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000174,1,Fernanda,,Agudelo,Jiménez,,,2,19690324,ZCC,965792389,ZAFI,B,AF-000174,A,CO,VAL,76001,Carrera 7ª # 28-91 Este,fernanda.lópez264@ejemplo.test,3490279015:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000175,1,Pablo,Gabriel,Hernández,Rubio,,,1,19860713,ZCC,980118110,ZAFI,B,AF-000175,A,CO,VAL,76001,Carrera 107 # 77C-6,pablo.olaya265@ejemplo.test,3375761115:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000176,1,Jhoan,Danny,Hoyos,Jaimes,,,1,19910204,ZCC,943529538,ZAFI,C,AF-000176,A,CO,ANT,05001,Diagonal 5Z # 84-30 Sur,jhoan.garcía266@ejemplo.test,3452892206:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000177,1,Eliecer,Omar,López,Gutiérrez,,,1,19410405,ZCC,956214249,ZAFI,B,AF-000177,A,CO,BOG,11001,Transversal 75 # 19V-84 Sur,eliecer.ruiz268@ejemplo.test,3341324218:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000178,1,Andrés,,Agudelo,Benítez,,,1,19531002,ZCC,981558079,ZAFI,C,AF-000178,A,CO,ANT,05001,Cl. 130S Sur # 21-88 Este,andrés.meza269@ejemplo.test,3217675326:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000179,1,Andrés,,León,Álvarez,,,1,19630426,ZCC,988697255,ZAFI,B,AF-000179,A,CO,CUN,25286,Avenida calle 51 # 1H-7 Este,andrés.aguilar271@ejemplo.test,3065864727:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000180,1,María,,Camacho,Romero,,,2,19891022,ZCE,937073348,ZAFI,B,AF-000180,A,CO,CUN,25286,Av. Valle del Cauca # 5-4 Sur,maría.hernández272@ejemplo.test,3452931732:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000181,1,José,Jairo,Fonseca,Pérez,,,1,20021204,ZCC,920432629,ZAFI,A,AF-000181,A,CO,BOG,11001,Av. Leidy Rodríguez # 99-66,josé.guerrero273@ejemplo.test,3138809365:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000182,1,Antonio,,Arias,Ardila,,,1,20000205,ZCC,988798953,ZAFI,B,AF-000182,A,CO,CUN,25286,Av. Julián Juan Rojas # 4-55 Sur,antonio.rodríguez274@ejemplo.test,3338382327:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000183,1,Hernando,Jorge,Orjuela,Castro,,,1,19860823,ZCC,928663544,ZAFI,A,AF-000183,A,CO,CUN,25286,Calle 9ª # 9-8,hernando.rincón275@ejemplo.test,3062757151:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000184,1,Angélica,María,Álvarez,Contreras,,,2,19781205,ZCC,996900215,ZAFI,C,AF-000184,A,CO,ANT,05001,Cl. 101 # 94-92 Este,angélica.martínez276@ejemplo.test,3159288404:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000185,1,Lucía,,Delgado,Quintero,,,2,20001018,ZCC,990077126,ZAFI,A,AF-000185,A,CO,ANT,05001,Carrera 7ª # 4J-83 Este,lucía.castro279@ejemplo.test,3180908591:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000186,1,Julieth,,Arias,Morales,,,2,19840101,ZCC,982582902,ZAFI,A,AF-000186,A,CO,CUN,25286,Dg. 122 # 9-6,julieth.luna281@ejemplo.test,3116790535:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000187,1,Liliana,Beatriz,Garzón,Valencia,,,2,19821026,ZCE,937585100,ZAFI,A,AF-000187,A,CO,VAL,76001,Av. Ortiz # 6-2 Sur,liliana.barrera282@ejemplo.test,3139154851:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000188,1,Liseth,Yolanda,Sánchez,Fajardo,,,2,19980903,ZCC,923001073,ZAFI,B,AF-000188,A,CO,ANT,05001,Av. Vargas # 2-3 Sur,liseth.lópez283@ejemplo.test,3371406236:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000189,1,Natalia,,Pinzón,Cuéllar,,,2,20030511,ZCC,948862314,ZAFI,B,AF-000189,A,CO,BOG,11001,Calle 40 # 64-8 Sur,natalia.ibarra284@ejemplo.test,3113837820:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000190,1,José,Diego,Rodríguez,Torres,,,1,20020823,ZCC,944364194,ZAFI,C,AF-000190,A,CO,BOG,11001,Avenida Calderón # 7Q-87,josé.valencia285@ejemplo.test,3299316918:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000191,1,William,,Restrepo,Silva,,,1,19411226,ZCC,956772301,ZAFI,A,AF-000191,A,CO,ANT,05001,Calle 98R # 1-2 Este,william.montes288@ejemplo.test,3257006594:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000192,1,Elena,,Rojas,Bustamante,,,2,19491209,ZCC,946994768,ZAFI,C,AF-000192,A,CO,CUN,25754,Dg. 8ª # 9-4,elena.márquez289@ejemplo.test,3240103939:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000193,1,Alexander,,Mercado,Vásquez,,,1,19970708,ZCC,920386299,ZAFI,B,AF-000193,A,CO,ANT,05001,Calle 184 # 2-8 Sur,alexander.valencia291@ejemplo.test,3171122672:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000194,1,Hernán,Luis,Hernández,Martínez,,,1,19461108,ZCC,980499363,ZAFI,B,AF-000194,A,CO,ANT,05001,Carrera 6ª # 68-90,hernán.leal292@ejemplo.test,3084572449:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000195,1,Diana,Candelaria,Quintero,Guerrero,,,2,19880228,ZCC,964354844,ZAFI,C,AF-000195,A,CO,VAL,76001,Carrera 1ª # 7-4,diana.bermúdez293@ejemplo.test,3316879465:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000196,1,Xiomara,,Jaramillo,Rojas,,,2,19981207,ZPPT,916045097,ZAFI,B,AF-000196,A,CO,ANT,05001,Cl. 45 # 42-7 Sur,xiomara.fuentes294@ejemplo.test,3485456554:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000197,1,Adriana,,Durán,Arboleda,,,2,19840901,ZCC,941342348,ZAFI,C,AF-000197,A,CO,CUN,25286,Av. Betania # 1-92 Sur,adriana.herrera295@ejemplo.test,3189053841:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000198,1,Jhon,David,González,Cardona,,,1,19540310,ZCC,950616156,ZAFI,B,AF-000198,A,CO,ANT,05001,Avenida carrera 8ª # 1-4 Este,jhon.torres296@ejemplo.test,3310471555:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000199,1,Marlén,,Lozano,Álvarez,,,2,19470419,ZCC,964132201,ZAFI,B,AF-000199,A,CO,ANT,05001,Av. calle 6ª # 4-11 Este,marlén.parada297@ejemplo.test,3330305958:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000200,1,Luz,,Mejía,Villamil,,,2,19970104,ZCE,945019149,ZAFI,A,AF-000200,A,CO,CUN,25754,Cl. 55 Sur # 1-82 Sur,luz.garzón298@ejemplo.test,3353337976:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000201,1,María,María,Gutiérrez,Trujillo,,,2,19700313,ZCC,984545834,ZAFI,B,AF-000201,A,CO,VAL,76001,Cl. 50D # 69-75 Sur,maría.garcía299@ejemplo.test,3132759013:TIT:OWN:TIT,,,Y,Y,,,,,20260901
