KUNNR,KTOKD,STKZN,NAME1,NAME2,STCD1,STCD2,GBDAT,LAND1,REGIO,ORT01,STRAS,TELF1,SMTP_ADDR,CTLPC,ZZ_CONTRATOS,ZZ_SERVICIOS,BPROL,ZZ_CATEGORIA,ZZ_BENEFICIARIO_DE,LOEVM,ERDAT,AEDAT
0000300100,ZPER,X,Alberto,García Ardila,,920693492,1957-02-23,CO,CUN,25286,Dg. 97 # 71-5,3047872818,ALBERTO.CASTELLANOS331@EJEMPLO.TEST,003,CR-00100:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300101,ZPER,X,Arnulfo Alexander,Fuentes Ospino,,910645967,2008-06-18,CO,CUN,25286,Avenida Sucre # 6-7 Sur,3435050883,ARNULFO.MOSQUERA333@EJEMPLO.TEST,003,CR-00101:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300102,ZPER,X,Blanca Leidy,Yepes Benavides,,955838242,2002-03-07,CO,CUN,25286,Carrera 45N # 3-67 Sur,3423938931,BLANCA.SALCEDO335@EJEMPLO.TEST,003,CR-00102:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300103,ZPER,X,Dayana Martha,Ríos Gutiérrez,,911515641,1944-06-24,CO,CUN,25754,Av. calle 36 # 37-78 Este,3111749461,DAYANA.CÁRDENAS336@EJEMPLO.TEST,003,CR-00103:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300104,ZPER,X,Angélica María,Garzón Ríos,,997192411,1968-11-03,CO,CUN,25286,Carrera 1 Bis C # 2-2,3188752388,ANGÉLICA.RODRÍGUEZ337@EJEMPLO.TEST,001,CR-00104:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300105,ZPER,X,Jhon Horacio,Carvajal Camargo,,917140822,1978-04-26,CO,VAL,76001,Cr. 100 # 1F-2,3174432010,JHON.CAMARGO339@EJEMPLO.TEST,003,CR-00105:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300106,ZPER,X,Carmen Lucía,Agudelo Tamayo,,980091618,1974-08-12,CO,BOG,11001,Tr. 68 # 44-4 Este,3032425935,CARMEN.PEÑA341@EJEMPLO.TEST,003,CR-00106:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300107,ZPER,X,Mary Beatriz,Gaviria Amaya,,926491899,1993-08-29,CO,CUN,25286,Cr. 103W # 1-7,3394295508,MARY.ACOSTA342@EJEMPLO.TEST,001,CR-00107:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300108,ZPER,X,Juan Eduardo,Ocampo Salazar,,972291496,1997-06-29,CO,ANT,05001,Avenida carrera 164 # 9-7,3323034181,JUAN.PABÓN343@EJEMPLO.TEST,002,CR-00108:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300109,ZPER,X,David,Barrera Valderrama,,994778719,1997-03-06,CO,VAL,76001,Avenida calle 41 # 2-7 Sur,3195269145,DAVID.RINCÓN351@EJEMPLO.TEST,003,CR-00109:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300110,ZPER,X,Stella,Manrique Pérez,,963195345,1996-10-05,CO,BOG,11001,Tr. 161 Este # 83-1 Sur,3326407866,STELLA.MELO360@EJEMPLO.TEST,002,CR-00110:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300111,ZPER,X,María,Leal Palacio,,987367630,1946-02-27,CO,VAL,76001,Dg. 31 # 4B-6,3357668941,MARÍA.ZAMBRANO363@EJEMPLO.TEST,002,CR-00111:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300112,ZPER,X,Mirian Damaris,Martínez Castro,,954442049,1993-02-02,CO,BOG,11001,Cr. 55 # 84-1 Este,3456386932,MIRIAN.MARTÍNEZ369@EJEMPLO.TEST,002,CR-00112:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300113,ZPER,X,María Daniela,Estrada Reyes,,927108087,1986-07-29,CO,BOG,11001,Cl. 8ª # 85-76 Este,3331883336,MARÍA.BEJARANO373@EJEMPLO.TEST,001,CR-00113:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300114,ZPER,X,María,Manrique Martínez,,971736831,1959-05-25,CO,CUN,25286,Avenida calle 140 # 2M-4 Este,3184142856,MARÍA.SÁNCHEZ374@EJEMPLO.TEST,003,CR-00114:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300115,ZPER,X,Iván,Mena Rodríguez,,942644299,1969-01-03,CO,CUN,25754,Av. carrera 171 # 86-92 Este,3176261107,IVÁN.CAMPO375@EJEMPLO.TEST,002,CR-00115:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300116,ZPER,X,Heriberto Germán,Puentes Velásquez,,930904368,1969-12-05,CO,BOG,11001,Diagonal 19J # 1-4 Sur,3473971328,HERIBERTO.PINEDA376@EJEMPLO.TEST,001,CR-00116:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300117,ZPER,X,Dayana Mónica,Portilla Velásquez,,914492061,1985-08-04,CO,CUN,25286,Cl. 32 # 6-54,3376980019,DAYANA.VERGARA387@EJEMPLO.TEST,001,CR-00117:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300118,ZPER,X,Paula Carmen,Rodríguez Páez,,948854566,1989-06-07,CO,BOG,11001,Cr. 18 # 40-3 Sur,3369414146,PAULA.TORRES388@EJEMPLO.TEST,001,CR-00118:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300119,ZPER,X,María,Rodríguez Moreno,,921759162,1957-03-13,CO,VAL,76001,Carrera 5L Bis # 92S-12,3475199745,MARÍA.RUIZ395@EJEMPLO.TEST,002,CR-00119:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300120,ZPER,X,Elena Andrea,Cifuentes Rodríguez,,975249642,1982-05-26,CO,VAL,76001,Av. calle 198 # 9Q-6 Sur,3448406216,ELENA.RENTERÍA396@EJEMPLO.TEST,003,CR-00120:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300121,ZPER,X,Ricardo,López Contreras,,964348754,1976-10-16,CO,CUN,25754,Transversal 7S # 3-2 Este,3093941336,RICARDO.URIBE399@EJEMPLO.TEST,003,CR-00121:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300122,ZPER,X,Yadira Natalia,Arango Ceballos,,970062783,1944-09-28,CO,BOG,11001,Calle 59 Bis P # 37-54,3210281695,YADIRA.SALCEDO400@EJEMPLO.TEST,001,CR-00122:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300123,ZPER,X,María Yeny,Durán Rodríguez,,959148054,2003-09-19,CO,VAL,76001,Avenida Ciénaga de Oro # 3Q-97 Este,3239600170,MARÍA.HURTADO401@EJEMPLO.TEST,002,CR-00123:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300124,ZPER,X,Ángel Orlando,Durán Orjuela,,986929405,1968-03-15,CO,VAL,76001,Av. calle 71 # 1-25 Sur,3328125991,ÁNGEL.MORALES411@EJEMPLO.TEST,002,CR-00124:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300125,ZPER,X,Adriana Sofía,Ramírez Durán,,957840816,2008-08-12,CO,VAL,76001,Cl. 38 # 23F-5,3034180918,ADRIANA.GUTIÉRREZ415@EJEMPLO.TEST,002,CR-00125:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300126,ZPER,X,Josué,Hernández Vargas,,953122064,1983-01-16,CO,ANT,05001,Dg. 24 # 75-2 Sur,3089652659,JOSUÉ.ERAZO416@EJEMPLO.TEST,002,CR-00126:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300127,ZPER,X,Daniel Osvaldo,Rivera Rodríguez,,948919091,1982-05-02,CO,ANT,05001,Carrera 188A # 5-15 Este,3489403440,DANIEL.MARTÍNEZ423@EJEMPLO.TEST,002,CR-00127:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300128,ZPER,X,Diego,Muñoz Riascos,,960213187,1999-01-09,CO,CUN,25754,Cr. 32 # 22-3,3183261357,DIEGO.CRUZ427@EJEMPLO.TEST,003,CR-00128:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300129,ZPER,X,Fabián,Orjuela Díaz,,972609054,1975-10-07,CO,BOG,11001,Cr. 15X # 17-2,3430255061,FABIÁN.HENAO428@EJEMPLO.TEST,001,CR-00129:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300130,ZPER,X,Lina Luisa,Castellanos Villegas,,992508628,1977-09-13,CO,CUN,25286,Calle 109 # 32-7 Sur,3370058876,LINA.FUENTES429@EJEMPLO.TEST,001,CR-00130:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300131,ZPER,X,Deicy Blanca,Moreno Gaitán,,951536503,1965-09-02,CO,VAL,76001,Calle 6 Sur # 1-18 Sur,3437574761,DEICY.GARCÍA432@EJEMPLO.TEST,001,CR-00131:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300132,ZPER,X,David Juan,Silva Pérez,,924970804,1954-08-17,CO,VAL,76001,Cl. 78 # 42-7 Este,3398185038,DAVID.MÁRQUEZ433@EJEMPLO.TEST,002,CR-00132:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300133,ZPER,X,Inés,Cuesta Polo,,926541578,1988-02-04,CO,CUN,25286,Dg. 82A # 37-9 Sur,3156153403,INÉS.ARRIETA434@EJEMPLO.TEST,001,CR-00133:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300134,ZPER,X,Enrique,Salas Torres,,994523173,1975-03-24,CO,CUN,25754,Cr. 40 # 57-37 Sur,3099729144,ENRIQUE.ACOSTA436@EJEMPLO.TEST,003,CR-00134:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300135,ZPER,X,Emma María,Rodríguez Palacios,,935301663,1991-07-06,CO,CUN,25286,Calle 23 # 66-42 Este,3147932453,EMMA.PÉREZ437@EJEMPLO.TEST,001,CR-00135:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300136,ZPER,X,Óscar Luis,Orozco Pacheco,,933280976,1947-01-31,CO,CUN,25286,Carrera 7ª # 3Y-1 Sur,3368614081,ÓSCAR.ROSERO438@EJEMPLO.TEST,002,CR-00136:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300137,ZPER,X,Rocío Doris,Jiménez Orozco,,946728684,1988-03-16,CO,BOG,11001,Avenida David Robinson Leal Cardona # 72-79,3497521112,ROCÍO.RODRÍGUEZ440@EJEMPLO.TEST,001,CR-00137:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300138,ZPER,X,Fabiola Isabel,Valencia Arboleda,,978502003,2003-05-16,CO,ANT,05001,Cr. 169U # 2-1,3326459762,FABIOLA.CASTILLO443@EJEMPLO.TEST,003,CR-00138:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300139,ZPER,X,Yesid Aldemar,Soto Hurtado,,944323333,1979-12-27,CO,CUN,25754,Tr. 45J # 17-94,3311031954,YESID.MORALES444@EJEMPLO.TEST,001,CR-00139:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300140,ZPER,X,Andrés,Ortiz Sierra,,979704975,1971-07-13,CO,VAL,76001,Cr. 128 Sur # 23-94 Sur,3481426909,ANDRÉS.GONZÁLEZ445@EJEMPLO.TEST,002,CR-00140:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300141,ZPER,X,Jesús Luis,Cárdenas Sánchez,,988622471,1945-04-28,CO,BOG,11001,Calle 1Y Bis # 25-15,3282935015,JESÚS.CUESTA447@EJEMPLO.TEST,001,CR-00141:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300142,ZPER,X,Lizeth Alejandra,Ceballos Gómez,,914883333,1946-04-17,CO,ANT,05001,Tr. 93 # 26-7,3482425887,LIZETH.TORRES449@EJEMPLO.TEST,001,CR-00142:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300143,ZPER,X,Aura,Bohórquez Rodríguez,,979087171,1960-08-06,CO,ANT,05001,Calle 32 # 25-46 Sur,3254257903,AURA.FUENTES457@EJEMPLO.TEST,002,CR-00143:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300144,ZPER,X,Blanca Paola,Monsalve Díaz,,972358721,1995-04-10,CO,VAL,76001,Tr. 60 # 30E-5 Este,3145265577,BLANCA.GÓMEZ459@EJEMPLO.TEST,002,CR-00144:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300145,ZPER,X,Luz Myriam,Hernández Gómez,,921824428,2004-11-02,CO,BOG,11001,Cl. 140 # 38K-9,3477237933,LUZ.MENDOZA463@EJEMPLO.TEST,002,CR-00145:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300146,ZPER,X,Julieth Rosalba,Mantilla Orozco,,975229940,1978-07-14,CO,CUN,25754,Tr. 5R # 17-39 Sur,3355150315,JULIETH.MORALES473@EJEMPLO.TEST,001,CR-00146:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300147,ZPER,X,Marlon Edwar,Giraldo Arias,,985354518,2007-04-05,CO,BOG,11001,Av. carrera 72 # 4-36 Sur,3261838204,MARLON.CASTRO474@EJEMPLO.TEST,002,CR-00147:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300148,ZPER,X,Ana Martha,Puentes Jaramillo,,968132822,1993-05-18,CO,ANT,05001,Av. calle 3ª # 8-16 Este,3192748840,ANA.HERRERA477@EJEMPLO.TEST,003,CR-00148:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300149,ZPER,X,Fabián Ángel,Vargas Jiménez,,933370507,1993-03-28,CO,VAL,76001,Calle 1Y # 70-50,3090971274,FABIÁN.SUÁREZ478@EJEMPLO.TEST,002,CR-00149:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300150,ZPER,X,Dary Yuly,Rincón Escobar,,971770654,1947-08-23,CO,ANT,05001,Avenida Guainía # 3Q-6 Sur,3120544583,DARY.MARTÍNEZ481@EJEMPLO.TEST,002,CR-00150:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300151,ZPER,X,Orlando,Hernández Vargas,,967866264,1972-10-10,CO,CUN,25754,Carrera 6ª # 20-76 Sur,3359469805,ORLANDO.CASTAÑEDA483@EJEMPLO.TEST,003,CR-00151:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300152,ZPER,X,Alba Patricia,Ayala Soto,,915732268,1949-01-07,CO,VAL,76001,Cl. 60 # 8-72 Este,3235483941,ALBA.GUERRA487@EJEMPLO.TEST,001,CR-00152:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300153,ZPER,X,Juan Jesús,Barrios Meneses,,957607118,1969-02-20,CO,CUN,25286,Calle 47 # 7-1 Sur,3240194755,JUAN.CORTÉS488@EJEMPLO.TEST,003,CR-00153:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300154,ZPER,X,Esperanza Mercedes,Zapata Martínez,,961907568,1953-09-08,CO,BOG,11001,Calle 73 # 27-13,3436570372,ESPERANZA.JIMÉNEZ490@EJEMPLO.TEST,002,CR-00154:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300155,ZPER,X,Luis,Bustos Melo,,954105293,1960-03-06,CO,CUN,25754,Calle 91 # 93N-36 Sur,3317382726,LUIS.VELÁSQUEZ491@EJEMPLO.TEST,002,CR-00155:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300156,ZPER,X,Jefferson,López Pérez,,931959500,1977-11-08,CO,CUN,25754,Cl. 178 # 6-76 Sur,3481904555,JEFFERSON.RIVERA498@EJEMPLO.TEST,003,CR-00156:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300157,ZPER,X,Lucía Silvia,Mejía González,,981131962,1993-03-03,CO,BOG,11001,Calle 2ª # 74-3,3239795993,LUCÍA.VELASCO500@EJEMPLO.TEST,003,CR-00157:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300158,ZPER,X,Nancy,León Valencia,,949890098,1982-04-06,CO,ANT,05001,Avenida Gómez # 96-8 Este,3399011648,NANCY.TORO504@EJEMPLO.TEST,001,CR-00158:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300159,ZPER,X,David Fabián,Jiménez Sandoval,,999196341,1941-07-28,CO,CUN,25754,Cr. 6F # 3-8 Sur,3052899827,DAVID.SIERRA510@EJEMPLO.TEST,002,CR-00159:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300160,ZPER,X,Felipe Esneider,Torres Ortiz,,914435665,1953-04-28,CO,VAL,76001,Calle 76 # 43N-2 Este,3394013437,FELIPE.PINTO511@EJEMPLO.TEST,002,CR-00160:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300161,ZPER,X,Camilo,Muñoz Navarro,,964907303,1976-04-25,CO,CUN,25286,Dg. 101 Este # 34-8 Sur,3216154460,CAMILO.RIVERA512@EJEMPLO.TEST,001,CR-00161:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300162,ZPER,X,Rubiela,Ramírez Monroy,,953837378,2007-07-31,CO,CUN,25754,Carrera 55 # 34-6 Este,3289256319,RUBIELA.RUIZ514@EJEMPLO.TEST,002,CR-00162:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300163,ZPER,X,Gisela Elena,Gómez Romero,,922243895,1985-09-30,CO,CUN,25286,Transversal 99V # 2-52,3246441869,GISELA.ACOSTA518@EJEMPLO.TEST,002,CR-00163:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300164,ZPER,X,Ancizar Gustavo,Pardo Sánchez,,970929821,1964-08-13,CO,BOG,11001,Carrera 140 # 3-2,3160882811,ANCIZAR.DÍAZ522@EJEMPLO.TEST,003,CR-00164:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300165,ZPER,X,Luis,Martínez Ruiz,,917649715,1991-05-26,CO,BOG,11001,Avenida calle 2ª # 6C-2 Sur,3078209109,LUIS.BUSTOS523@EJEMPLO.TEST,002,CR-00165:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300166,ZPER,X,Andrés,Angulo García,,963402231,1948-02-19,CO,ANT,05001,Cl. 7ª # 1-23 Sur,3464804121,ANDRÉS.GUTIÉRREZ524@EJEMPLO.TEST,001,CR-00166:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300167,ZPER,X,Iván Andrés,Sánchez Gómez,,980981728,1942-03-31,CO,ANT,05001,Cl. 38 Este # 6-6 Sur,3218413544,IVÁN.OCAMPO525@EJEMPLO.TEST,001,CR-00167:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300168,ZPER,X,Andrés,Garcés Mora,,933719764,1958-03-29,CO,VAL,76001,Calle 172 # 68V-71 Sur,3260479686,ANDRÉS.ROJAS526@EJEMPLO.TEST,002,CR-00168:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300169,ZPER,X,Reinel,Rivera Osorio,,946137512,1971-07-13,CO,BOG,11001,Carrera 123 # 6L-8 Este,3169927211,REINEL.AGUILAR530@EJEMPLO.TEST,001,CR-00169:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300170,ZPER,X,Andrea Angélica,López Romero,,987126928,1957-04-22,CO,ANT,05001,Av. calle 3ª # 9G-36,3294526064,ANDREA.SÁNCHEZ532@EJEMPLO.TEST,001,CR-00170:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300171,ZPER,X,César,Herrera Gómez,,980455496,2003-08-30,CO,CUN,25286,Avenida carrera 100 # 6-41 Este,3418825524,CÉSAR.GONZÁLEZ534@EJEMPLO.TEST,002,CR-00171:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300172,ZPER,X,Julia Maricela,Castellanos Cruz,,967125914,1990-04-29,CO,CUN,25286,Dg. 11 # 32-1 Sur,3167069053,JULIA.MORENO537@EJEMPLO.TEST,003,CR-00172:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300173,ZPER,X,Jairo René,Martínez Carrillo,,918553212,1973-03-11,CO,CUN,25754,Avenida calle 134 # 4P-1 Este,3238056093,JAIRO.MOSQUERA543@EJEMPLO.TEST,001,CR-00173:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300174,ZPER,X,Luz,Cuéllar Delgado,,944709690,1954-12-11,CO,CUN,25754,Dg. 36 # 68T-5,3178610097,LUZ.MARTÍNEZ548@EJEMPLO.TEST,003,CR-00174:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300175,ZPER,X,Yesid,Benítez Morales,,922754921,1948-05-16,CO,CUN,25754,Diagonal 63 # 95-55,3311521619,YESID.ALFONSO551@EJEMPLO.TEST,003,CR-00175:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300176,ZPER,X,David Julián,Barrios Fuentes,,924832536,1950-09-29,CO,VAL,76001,Avenida Tuta # 79-80 Sur,3492313271,DAVID.FLÓREZ553@EJEMPLO.TEST,001,CR-00176:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300177,ZPER,X,Gonzalo,Gómez Villamizar,,957210475,2005-01-08,CO,VAL,76001,Av. calle 166 # 9-33 Sur,3213218115,GONZALO.RAMÍREZ555@EJEMPLO.TEST,001,CR-00177:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300178,ZPER,X,Arturo Andrés,Castro Moreno,,923426679,1981-04-16,CO,CUN,25754,Cl. 139B Sur # 47-7 Este,3141070740,ARTURO.CORREA556@EJEMPLO.TEST,001,CR-00178:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300179,ZPER,X,Fernando,Rivera Jaramillo,,996827924,1990-06-24,CO,CUN,25754,Cl. 38 # 4U-29,3055071853,FERNANDO.MORALES566@EJEMPLO.TEST,003,CR-00179:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300180,ZPER,X,Edinson Diego,Gómez Castillo,,925211662,1943-05-21,CO,CUN,25286,Av. Chocó # 7A-7 Sur,3245896490,EDINSON.MARÍN567@EJEMPLO.TEST,001,CR-00180:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300181,ZPER,X,Patricia Nubia,Prada Quintero,,923522158,1986-12-29,CO,BOG,11001,Avenida Carlos Pardo Ospino # 7J-37 Sur,3369408249,PATRICIA.RÍOS570@EJEMPLO.TEST,003,CR-00181:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300182,ZPER,X,Norberto Rafael,García Perea,,947914701,1964-10-24,CO,BOG,11001,Calle 9O # 55-81 Este,3372749227,NORBERTO.OSPINA576@EJEMPLO.TEST,003,CR-00182:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300183,ZPER,X,Beatriz,Velasco Obando,,910276033,1983-07-20,CO,CUN,25754,Cl. 76 # 2-6,3022275525,BEATRIZ.MUÑOZ579@EJEMPLO.TEST,003,CR-00183:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300184,ZPER,X,Marina,Hernández Jiménez,,960042087,1978-05-22,CO,ANT,05001,Diagonal 79 # 73-19 Sur,3437170045,MARINA.VÁSQUEZ582@EJEMPLO.TEST,003,CR-00184:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300185,ZPER,X,Kevin,Cruz Marín,,981008784,1945-02-28,CO,ANT,05001,Cl. 70 # 63-40,3072761474,KEVIN.PEREA583@EJEMPLO.TEST,002,CR-00185:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300186,ZPER,X,Aurora Liliana,Pinzón Villegas,,913881612,1965-12-21,CO,ANT,05001,Diagonal 8ª # 40G-9 Este,3126014210,AURORA.DELGADO585@EJEMPLO.TEST,003,CR-00186:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300187,ZPER,X,Miguel Felipe,Medina Mendoza,,996957076,2001-08-13,CO,CUN,25754,Av. carrera 4ª # 4-44 Este,3447765031,MIGUEL.TRIANA589@EJEMPLO.TEST,001,CR-00187:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300188,ZPER,X,Delia Ana,Salazar Martínez,,975253822,1999-08-27,CO,CUN,25286,Cr. 55X # 1-16 Este,3041022741,DELIA.SALGADO594@EJEMPLO.TEST,001,CR-00188:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300189,ZPER,X,Erick Carlos,Garzón Buitrago,,986103210,1985-01-27,CO,VAL,76001,Carrera 34 # 90-40 Sur,3388588419,ERICK.GUERRERO598@EJEMPLO.TEST,002,CR-00189:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300190,ZPER,X,Elver,Gutiérrez Rojas,,917680951,1968-11-07,CO,BOG,11001,Avenida Helena Martha Gómez # 72-5 Este,3171512173,ELVER.LÓPEZ599@EJEMPLO.TEST,001,CR-00190:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300191,ZPER,X,Jackeline,Anaya Camargo,,970891995,1951-02-10,CO,VAL,76001,Cl. 112 # 25-1,3088292813,JACKELINE.DÍAZ600@EJEMPLO.TEST,002,CR-00191:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300192,ZPER,X,María,Castellanos Rodríguez,,965631168,1994-01-31,CO,VAL,76001,Calle 7 Bis # 7-27 Sur,3184162600,MARÍA.VERA601@EJEMPLO.TEST,003,CR-00192:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300193,ZPER,X,Nelson Jesús,Blanco Giraldo,,980752203,2002-10-03,CO,CUN,25754,Carrera 103 # 62B-7 Sur,3444890355,NELSON.ARÉVALO618@EJEMPLO.TEST,001,CR-00193:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300194,ZPER,X,Lucía,Vélez Pedraza,,927612846,1989-10-19,CO,CUN,25286,Cr. 87 # 17W-7,3312761925,LUCÍA.GONZÁLEZ619@EJEMPLO.TEST,001,CR-00194:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300195,ZPER,X,Ana Alejandra,Romero Cardona,,989338601,1953-07-28,CO,CUN,25286,Carrera 2ª # 6-7,3219723742,ANA.REYES624@EJEMPLO.TEST,001,CR-00195:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300196,ZPER,X,Socorro Daniela,Pérez Díaz,,916178203,1999-08-27,CO,CUN,25754,Cl. 3ª # 4-6 Este,3220130950,SOCORRO.ARIAS628@EJEMPLO.TEST,002,CR-00196:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300197,ZPER,X,Guillermo Alberto,García Lara,,982533454,1984-12-31,CO,VAL,76001,Calle 4ª # 86-35 Este,3380337443,GUILLERMO.RUIZ631@EJEMPLO.TEST,003,CR-00197:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300198,ZPER,X,Antonio José,Acosta Peña,,912435368,1954-11-12,CO,ANT,05001,Cl. 82 # 8-5 Este,3345283564,ANTONIO.MONTOYA633@EJEMPLO.TEST,002,CR-00198:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300199,ZPER,X,Alfredo,Hernández Melo,,998621857,1986-08-08,CO,BOG,11001,Calle 2 Bis B # 67-4 Este,3059969602,ALFREDO.BURGOS639@EJEMPLO.TEST,003,CR-00199:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
